# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
14.25           	((2.64586065e+06 1.25685274e+06 -3.82351926e+06) (-8.22830470e+01 -3.55006925e+01 -9.72263870e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.48787650e+05 -1.56710226e+06 7.03740323e+05) (4.94626803e-01 -1.68081147e+00 5.34096731e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
14.5            	((-3.63119354e+06 -1.52528682e+06 2.92070030e+06) (-9.43123264e+01 -3.99729615e+01 -5.31949372e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.77624976e+05 1.22839719e+06 -7.22390000e+05) (5.35326323e-01 -1.66927240e+00 6.03820644e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
14.75           	((4.12160659e+06 1.38937458e+06 -4.83271489e+06) (-8.88310026e+01 -4.09540263e+01 -1.80018057e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.26320602e+06 -1.98043759e+06 8.85709933e+05) (8.89187939e-01 -2.17796780e+00 8.00444061e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
15              	((-5.95745923e+06 -1.52638693e+06 5.69230214e+06) (-1.09581526e+02 -4.43601876e+01 -1.16612771e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.56878307e+06 2.38692585e+06 -8.81200978e+05) (3.22845705e-01 -1.67916001e+00 1.02255654e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
15.25           	((5.79435598e+06 2.29298704e+06 -7.30046889e+06) (-1.11890963e+02 -3.63518589e+01 -1.88127662e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.89657126e+06 -2.98033218e+06 1.25453679e+06) (3.80689694e-01 -2.53064187e+00 1.52895947e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
15.5            	((-7.56575493e+06 -2.42315752e+06 8.44124642e+06) (-1.30540466e+02 -3.87634770e+01 1.24280661e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.56256475e+06 3.50921837e+06 -1.20850031e+06) (-3.25073418e-01 -1.86285324e+00 1.59220221e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
15.75           	((6.41755743e+06 3.01556494e+06 -1.11033440e+07) (-1.39519166e+02 -3.24326134e+01 -2.63474085e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.67594700e+06 -4.51152070e+06 1.20616319e+06) (4.62144487e-02 -3.27281964e+00 1.65287877e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
16              	((-8.20755681e+06 -3.01778604e+06 1.08223040e+07) (-1.55077224e+02 -3.35673101e+01 -5.77647167e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.97544546e+06 4.49248862e+06 -1.17744318e+06) (-7.45326970e-01 -2.56098834e+00 1.71532127e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
16.25           	((7.36104171e+06 3.77187750e+06 -1.25402466e+07) (-1.59942394e+02 -2.63294204e+01 -2.70982718e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.43405945e+06 -5.09085861e+06 1.28276464e+06) (-4.27207849e-01 -3.63320213e+00 1.82233780e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
16.5            	((-9.84190643e+06 -3.45005898e+06 1.22143453e+07) (-1.80564834e+02 -2.48314889e+01 -2.78090977e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.99808276e+06 5.08747950e+06 -9.51798090e+05) (-9.61632576e-01 -2.79633916e+00 2.09614593e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
16.75           	((8.57895610e+06 2.71518095e+06 -1.87288822e+07) (-1.86591083e+02 -2.97850399e+01 -4.22687940e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.40847674e+06 -7.60816897e+06 9.98695307e+05) (-4.60212767e-01 -4.75596489e+00 2.11079675e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
17              	((-1.12407835e+07 -2.62853548e+06 1.51811339e+07) (-2.05349871e+02 -2.95942375e+01 -1.28566524e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.23757355e+06 6.35790599e+06 -7.70867924e+05) (-7.71869049e-01 -3.63848777e+00 2.23453617e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
17.25           	((1.06585946e+07 1.50176333e+06 -2.14894825e+07) (-2.03960755e+02 -3.68991200e+01 -4.65296327e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.52066216e+06 -8.71126528e+06 3.88814685e+05) (1.56571550e-01 -5.24972759e+00 1.97233221e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
17.5            	((-1.28608170e+07 -1.22772284e+06 2.14377852e+07) (-2.17800259e+02 -3.57718553e+01 1.43377949e-01) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.90523007e+06 8.93526801e+06 -5.67249360e+05) (-2.29151876e-01 -3.18107406e+00 1.95833166e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
17.75           	((1.23974517e+07 3.53780319e+05 -1.89702444e+07) (-2.14931447e+02 -4.07079757e+01 -1.93568447e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.41869611e+06 -7.70448088e+06 5.07206073e+05) (3.17103315e-01 -4.20470714e+00 1.88677864e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
18              	((-1.28264886e+07 -6.22092389e+05 2.01130986e+07) (-2.18586015e+02 -4.20304012e+01 2.31957858e+00) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.72065613e+06 8.30965414e+06 -5.78616277e+05) (7.13041695e-01 -2.31366247e+00 1.88447052e+01) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
