# Forces        
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1430            	((1.48038963e+21 3.19442858e+19 -3.52884317e+21) (-1.83710135e+09 -1.98407198e+07 -1.57648061e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.77218724e+20 -1.41873327e+21 1.21014006e+20) (5.50596663e+05 -4.02157122e+07 -6.61226723e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1432            	((-1.74598626e+21 -6.03994048e+19 3.75914607e+21) (-1.90726204e+09 -2.83567503e+07 1.65033634e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.66545964e+20 1.54150125e+21 -1.38076570e+20) (-1.00514711e+06 -2.75876169e+07 -7.23584294e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1434            	((2.09410714e+21 -1.47609862e+20 -4.27590824e+21) (-1.81891476e+09 -7.87335321e+07 -1.28893645e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.71304095e+20 -1.73793298e+21 4.37100681e+19) (5.09053205e+06 -3.98268675e+07 -8.94850503e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1436            	((-2.29713457e+21 1.83083711e+20 4.43675603e+21) (-1.88082419e+09 -6.63385085e+07 2.22161102e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.22225480e+20 1.82847942e+21 -7.19060739e+19) (3.96506543e+06 -2.55030779e+07 -9.69446135e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1438            	((2.42914673e+21 -2.44188248e+20 -5.03914438e+21) (-1.82851309e+09 -8.60915720e+07 -1.37738117e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.07881659e+20 -2.05102880e+21 1.53557028e+19) (4.04802329e+06 -4.10640136e+07 -1.05055551e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1440            	((-2.98686918e+21 3.18475161e+20 5.63780181e+21) (-1.96444016e+09 -6.32284650e+07 2.21236172e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.73149828e+20 2.32873430e+21 -1.25271395e+19) (-1.94477630e+06 -2.71617230e+07 -9.91202636e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1442            	((2.45768137e+21 -1.48104379e+20 -5.52834345e+21) (-2.04345313e+09 -3.10231206e+07 -1.90941240e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.86710715e+20 -2.24617727e+21 7.06010033e+19) (5.08009780e+05 -4.62306046e+07 -8.20580623e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1444            	((-2.80054910e+21 1.64991831e+20 5.26384044e+21) (-2.12392906e+09 -2.55805687e+07 1.32854374e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.45597530e+20 2.17080089e+21 -7.69244801e+19) (5.76050068e+05 -3.37058383e+07 -8.73757597e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1446            	((2.46666049e+21 5.05660298e+19 -4.80202169e+21) (-2.15431907e+09 1.80118504e+07 -1.83542848e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.60109693e+19 -1.94580681e+21 1.48455157e+20) (-2.73268294e+06 -4.73328849e+07 -7.08764093e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1448            	((-2.77022527e+21 -1.13097284e+20 4.76596844e+21) (-2.23235243e+09 3.39822573e+06 1.77458057e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.06379593e+20 1.95940201e+21 -2.10296987e+20) (-5.30471700e+06 -3.33600265e+07 -8.46221166e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1450            	((2.40430733e+21 1.06738826e+20 -5.57042430e+21) (-2.28366723e+09 3.50469796e+06 -2.70313109e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.63247781e+20 -2.25090187e+21 1.73206160e+20) (4.69225755e+05 -5.31166997e+07 -9.17515138e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1452            	((-2.91927281e+21 -2.88332947e+19 6.36026428e+21) (-2.38612855e+09 1.69433855e+07 1.95523341e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.11003346e+20 2.61705571e+21 -1.01223047e+20) (2.84719766e+05 -3.48146587e+07 -8.17323827e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1454            	((3.15853254e+21 2.27140375e+20 -6.58562824e+21) (-2.32034307e+09 5.64479221e+07 -2.19001159e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.61672066e+19 -2.67888149e+21 1.11258873e+20) (-1.90081299e+05 -5.26065219e+07 -7.77915869e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1456            	((-3.85333343e+21 -1.18270506e+20 7.27793434e+21) (-2.45930612e+09 7.75879168e+07 2.20962230e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.98896400e+20 2.99981450e+21 -1.19082255e+20) (-3.64696891e+06 -3.55504512e+07 -8.15599065e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1458            	((4.30162439e+21 1.08166736e+20 -6.95484010e+21) (-2.35074503e+09 7.85379261e+07 -1.71569097e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.15689023e+19 -2.83989788e+21 3.91228645e+19) (-1.90117929e+05 -5.22463409e+07 -8.87284751e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1460            	((-5.09768029e+21 1.38437089e+19 8.79066544e+21) (-2.51189071e+09 1.03145910e+08 3.00808514e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.07873392e+20 3.61216836e+21 -6.27324771e+19) (-1.38258820e+06 -3.39293606e+07 -9.53823897e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1462            	((3.87554948e+21 1.59155886e+20 -8.99142594e+21) (-2.68319249e+09 1.38075123e+08 -2.41098410e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.29047228e+19 -3.64736189e+21 1.87022038e+20) (-1.66120391e+05 -6.03134224e+07 -7.98192515e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1464            	((-4.63740262e+21 -2.01848509e+20 7.97979950e+21) (-2.82401504e+09 1.32264071e+08 1.20433843e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.53931401e+20 3.27801425e+21 -1.96062180e+20) (-1.69047752e+06 -4.68724021e+07 -8.69310834e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1466            	((3.84021627e+21 -1.80285920e+20 -9.06838919e+21) (-2.91551210e+09 7.99166767e+07 -2.50488365e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.12716407e+20 -3.64614815e+21 1.55948911e+20) (2.94537381e+06 -6.37634223e+07 -9.77091729e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1468            	((-4.63226513e+21 2.69920919e+20 1.03015278e+22) (-3.03062368e+09 1.03071252e+08 2.57707894e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.54509459e+20 4.22150784e+21 -1.52531656e+20) (1.09439431e+06 -4.31535925e+07 -1.01771610e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1470            	((4.43703984e+21 -6.04166855e+20 -1.09476336e+22) (-3.04055964e+09 5.30742356e+07 -2.49888953e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.72902845e+20 -4.42419584e+21 1.63245395e+20) (2.94154165e+06 -6.66747769e+07 -1.02992921e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1472            	((-5.80963409e+21 5.82654752e+20 1.15792244e+22) (-3.23782651e+09 6.65914818e+07 2.37967530e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.89525438e+20 4.77576594e+21 -2.32673907e+20) (9.09681252e+05 -4.76502739e+07 -1.19191315e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1474            	((6.01825570e+21 -9.33631902e+20 -1.22627143e+22) (-3.19163170e+09 1.66721794e+07 -2.79881571e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.58452311e+20 -4.99828267e+21 -8.05835922e+19) (6.21625574e+06 -7.11919242e+07 -1.61288926e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1476            	((-5.91154865e+21 8.34115928e+20 1.37737230e+22) (-3.19314914e+09 1.62410107e+07 3.09669136e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.30706398e+20 5.67203384e+21 -1.62467190e+20) (5.45673629e+06 -4.55191455e+07 -1.92976672e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1478            	((5.16473460e+21 -5.91061720e+20 -1.11604537e+22) (-3.25706561e+09 4.66753383e+07 -4.83055508e+06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.70886501e+19 -4.54854056e+21 3.04541057e+20) (1.89404501e+06 -6.26809054e+07 -1.76147731e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1480            	((-6.29459864e+21 4.55576545e+20 9.87598036e+21) (-3.44020077e+09 3.90701031e+07 3.45385270e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.40267223e+20 4.08077779e+21 -1.87516661e+20) (1.12757605e+06 -4.82197043e+07 -1.65884687e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1482            	((6.13674511e+21 -9.99325400e+18 -1.27605100e+22) (-3.44104249e+09 9.55718025e+07 -2.40945378e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.14036373e+20 -5.17513710e+21 4.28545631e+20) (2.39419966e+05 -7.44240317e+07 -1.42637260e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1484            	((-7.00467843e+21 -1.07363070e+20 1.49825946e+22) (-3.55464437e+09 8.12158438e+07 4.04012201e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.09499604e+20 6.16866450e+21 -4.83066323e+20) (-2.02613047e+06 -4.75638213e+07 -1.55895377e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1486            	((7.58615627e+21 9.47619574e+19 -1.29159680e+22) (-3.45221578e+09 8.09445185e+07 -9.08353885e+06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.03524224e+21 -5.26592190e+21 4.35439554e+20) (3.71578593e+06 -6.90901945e+07 -1.62360217e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1488            	((-8.53033560e+21 -8.14337319e+19 1.46188762e+22) (-3.59006976e+09 8.09740386e+07 4.43969567e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.11103670e+21 5.99979111e+21 -4.99719346e+20) (1.68188731e+06 -4.79110982e+07 -1.73199976e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1490            	((8.89193671e+21 -1.57270677e+20 -1.48715188e+22) (-3.51690047e+09 5.03996394e+07 -1.68616656e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.40088559e+20 -6.06206659e+21 2.82184224e+20) (-1.55798337e+06 -7.49131200e+07 -1.89344015e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1492            	((-9.23581159e+21 1.35479549e+20 1.47945077e+22) (-3.59140852e+09 4.99305683e+07 3.80471392e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.01270774e+20 6.06259856e+21 -1.84506031e+20) (-2.46310299e+06 -5.22649519e+07 -1.81572891e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1494            	((7.89899789e+21 -7.55479187e+19 -1.67462536e+22) (-3.71075621e+09 5.67456472e+07 -3.34397607e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.00798935e+21 -6.77061318e+21 3.33458082e+20) (-1.06789953e+05 -8.37253105e+07 -1.69251429e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1496            	((-9.09652716e+21 4.31716279e+20 1.74463485e+22) (-3.84576880e+09 1.00743283e+08 3.34312973e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.45684910e+20 7.16182323e+21 -3.17184898e+20) (-3.86629337e+06 -5.67651620e+07 -1.72498586e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1498            	((8.45913974e+21 -3.22676363e+20 -1.67744467e+22) (-3.86040286e+09 1.08753061e+08 -3.96516987e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.09436414e+21 -6.80094143e+21 5.53554008e+20) (-9.20098325e+05 -8.77128098e+07 -1.48497868e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1500            	((-9.37544348e+21 2.11779768e+20 1.87044767e+22) (-3.96991634e+09 9.86741385e+07 3.31050642e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02457386e+21 7.67242328e+21 -5.54473210e+20) (-3.34621766e+06 -5.85216710e+07 -1.49902383e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1502            	((8.21657462e+21 -6.74394665e+20 -1.67698904e+22) (-4.03035600e+09 4.31386099e+07 -3.78051759e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.90671628e+20 -6.79236402e+21 3.77764475e+20) (-1.40924632e+06 -8.92848979e+07 -1.58638254e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1504            	((-9.86091547e+21 5.93957402e+20 1.88227180e+22) (-4.23966004e+09 4.25767590e+07 3.64746601e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.08420539e+20 7.71127209e+21 -4.89674964e+20) (-1.73838177e+06 -6.14992085e+07 -1.80760477e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1506            	((9.56548673e+21 -1.05514495e+21 -1.83131962e+22) (-4.22613624e+09 -1.71724709e+07 -4.09819784e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.06681768e+20 -7.41782457e+21 -2.36790171e+20) (4.81778421e+06 -9.44570760e+07 -2.42589190e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1508            	((-1.16999383e+22 1.12672352e+21 2.02736629e+22) (-4.45358995e+09 -3.17143894e+03 3.92602824e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.08935062e+21 8.31445083e+21 -4.67736855e+19) (-3.38343041e+05 -6.47840178e+07 -2.62516668e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1510            	((9.66982226e+21 -1.09787594e+21 -2.60952720e+22) (-4.62108537e+09 -1.16447493e+07 -6.61940338e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.63744483e+20 -1.05445913e+22 -3.35166839e+20) (-6.26855473e+06 -1.11981579e+08 -2.86475268e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1512            	((-1.31932134e+22 1.16252186e+21 2.81167372e+22) (-4.94449356e+09 4.48975759e+06 2.71891235e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.28543591e+21 1.16021528e+22 2.61690577e+20) (-2.31163059e+06 -7.67670696e+07 -2.87158508e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1514            	((1.15267277e+22 1.54985553e+20 -3.09276253e+22) (-5.05483408e+09 1.13937285e+08 -6.31419819e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.44569382e+20 -1.25293516e+22 8.96580306e+20) (-8.73547269e+06 -1.17661985e+08 -1.96251399e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1516            	((-1.33161532e+22 1.17773818e+20 2.87065052e+22) (-5.21603481e+09 1.34467840e+08 1.95769073e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.20660192e+21 1.18698253e+22 -9.41131509e+20) (-1.60769119e+07 -8.45271042e+07 -2.04591012e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1518            	((1.39150348e+22 6.78343663e+20 -2.81443008e+22) (-5.11602780e+09 1.95895331e+08 -4.39644109e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.89508208e+20 -1.14132537e+22 1.13730894e+21) (-1.26445729e+07 -1.12178792e+08 -1.87591744e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1520            	((-1.75711899e+22 -5.51791184e+20 2.83625530e+22) (-5.44871688e+09 1.98833175e+08 3.92133027e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.18393943e+21 1.17668316e+22 -1.07508698e+21) (-1.76536165e+07 -8.04812554e+07 -1.96308453e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1522            	((1.43737151e+22 -6.05872551e+19 -3.08003359e+22) (-5.62950983e+09 1.54467184e+08 -5.19578244e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.08973132e+21 -1.24297633e+22 4.00748049e+20) (-7.02534289e+06 -1.24101455e+08 -2.52994822e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1524            	((-1.82355199e+22 3.23982026e+20 3.44243751e+22) (-5.92816843e+09 1.77385863e+08 4.10499811e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.13115481e+21 1.42345003e+22 -3.85499087e+20) (-8.66824039e+06 -8.79986937e+07 -2.58618576e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1526            	((1.87803636e+22 -1.43485624e+21 -3.26201979e+22) (-5.83709477e+09 9.26318746e+07 -2.81005884e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.96057066e+21 -1.32433276e+22 4.66801299e+20) (3.89292563e+06 -1.19442238e+08 -2.66418491e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1528            	((-2.25778304e+22 1.57130570e+21 3.50131079e+22) (-6.14736507e+09 1.20068179e+08 5.60587957e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.24887402e+21 1.44702415e+22 -5.25834053e+20) (-4.65475317e+06 -8.71915016e+07 -2.75720975e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1530            	((2.13106610e+22 -2.56797728e+20 -3.72509168e+22) (-6.17507811e+09 2.08903275e+08 -3.08251644e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.36922266e+21 -1.51087885e+22 1.48283756e+21) (-5.52471875e+06 -1.27848532e+08 -2.09301294e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1532            	((-2.52314446e+22 5.08082876e+20 3.99669556e+22) (-6.48336542e+09 2.33873635e+08 6.40427163e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.59608156e+21 1.65023857e+22 -1.38436646e+21) (-7.60113038e+06 -9.08448236e+07 -2.17701433e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1534            	((2.68594840e+22 -5.59003226e+20 -4.22451912e+22) (-6.32587893e+09 2.27842769e+08 -1.91714633e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.40689721e+20 -1.71778867e+22 5.43427060e+20) (-3.66296162e+06 -1.27312373e+08 -2.61563435e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1536            	((-3.08230125e+22 4.29068159e+20 5.09638986e+22) (-6.62846109e+09 2.26304685e+08 9.44161294e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.05184996e+20 2.09869344e+22 -1.13324572e+21) (-3.38259392e+06 -8.14197646e+07 -3.05017044e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1538            	((2.85392675e+22 -1.30570305e+21 -4.95376367e+22) (-6.69656137e+09 1.63643306e+08 -1.44705453e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.01854423e+21 -2.01503420e+22 4.20861366e+19) (9.34862065e+06 -1.32684381e+08 -3.68946879e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1540            	((-3.31015920e+22 7.52754466e+20 5.62796694e+22) (-7.01813884e+09 1.42692169e+08 9.27160006e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.34358774e+20 2.31452891e+22 -4.79070755e+20) (8.38964711e+06 -9.05399544e+07 -3.98059192e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1542            	((2.97784147e+22 9.74703524e+20 -6.13216421e+22) (-7.16127942e+09 2.57335032e+08 -2.81978530e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.09741829e+21 -2.49299123e+22 1.41984093e+21) (1.22251626e+07 -1.46211770e+08 -3.60169530e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1544            	((-3.79883918e+22 8.16215466e+19 5.79471358e+22) (-7.68041067e+09 3.21333253e+08 7.22603668e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.40983139e+20 2.39404800e+22 -1.71661541e+21) (6.98768860e+06 -1.09092284e+08 -3.85922843e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1546            	((3.22735923e+22 -6.41972856e+20 -6.52422968e+22) (-7.91203089e+09 2.95957383e+08 -6.82550035e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.63643534e+21 -2.64049342e+22 1.76085121e+21) (1.97622477e+07 -1.73052998e+08 -3.84510952e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1548            	((-3.99678682e+22 -4.94979732e+20 7.05494820e+22) (-8.32554107e+09 2.41339820e+08 6.60905599e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.56736656e+20 2.90809444e+22 -2.83492810e+21) (1.91389579e+07 -1.20555950e+08 -4.45467027e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1550            	((3.68843897e+22 1.44133510e+21 -7.37745023e+22) (-8.41142107e+09 2.98318170e+08 -6.27632568e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.76725763e+20 -2.98002895e+22 4.35290504e+21) (1.59974799e+07 -1.78012933e+08 -3.66318060e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1552            	((-4.64510795e+22 -1.26012197e+21 7.85785791e+22) (-8.88633802e+09 3.06728969e+08 7.20757322e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.95710328e+21 3.23601521e+22 -4.52886228e+21) (6.66767466e+05 -1.26257629e+08 -3.76200721e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1554            	((4.78115012e+22 1.82478876e+21 -7.73861631e+22) (-8.75997646e+09 3.42330373e+08 -5.36184653e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.20623771e+20 -3.13152224e+22 4.35359512e+21) (6.39313018e+06 -1.81423345e+08 -3.70679995e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1556            	((-5.62471033e+22 7.17786066e+20 1.02725228e+23) (-9.16844796e+09 4.67591168e+08 1.12027529e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.51700087e+21 4.21946974e+22 -4.43506804e+21) (-4.17919408e+06 -1.15382439e+08 -3.82371180e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1558            	((5.36609664e+22 -9.53239948e+19 -1.12863385e+23) (-9.22446761e+09 4.95687000e+08 -7.96377599e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.79833905e+21 -4.59939358e+22 2.20456452e+21) (1.27413032e+07 -2.05008768e+08 -4.72019452e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1560            	((-6.39500221e+22 -1.17124861e+21 1.07268644e+23) (-9.74898143e+09 4.41013554e+08 5.46172550e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.11689774e+21 4.42970770e+22 -3.08678883e+21) (6.51696318e+06 -1.54260074e+08 -5.15100811e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1562            	((6.26001809e+22 1.20001156e+21 -1.14418369e+23) (-9.71018892e+09 4.52182795e+08 -7.32636981e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.77763918e+22 -4.65895530e+22 3.36223586e+21) (3.02746795e+07 -2.09672434e+08 -5.16924410e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1564            	((-6.82917140e+22 5.92524136e+20 1.14126606e+23) (-1.00070201e+10 5.35462091e+08 8.27147815e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.10734205e+22 4.69601838e+22 -2.58163904e+21) (1.94832620e+07 -1.46427869e+08 -4.87077188e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1566            	((6.06905181e+22 -5.21926403e+21 -1.22790926e+23) (-1.01918334e+10 3.37229880e+08 -8.75677008e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.68099122e+21 -4.97011384e+22 2.61017099e+21) (1.37496476e+07 -2.23986640e+08 -4.63651437e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1568            	((-7.04578799e+22 4.16286846e+21 1.37972624e+23) (-1.06056236e+10 3.23918841e+08 1.00341405e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.91327752e+21 5.66967244e+22 -4.11025957e+21) (6.10061373e+06 -1.48207237e+08 -5.40317590e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1570            	((7.50825760e+22 -1.13486639e+22 -1.29642537e+23) (-1.03023563e+10 1.31967692e+07 -7.09641314e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.96562960e+21 -5.28750404e+22 3.78576766e+21) (1.41231274e+07 -2.21346756e+08 -5.29933480e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1572            	((-8.70011789e+22 8.43162133e+21 1.47094101e+23) (-1.08687703e+10 -5.50866938e+07 1.10210542e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.74025678e+20 6.05599714e+22 -5.20747976e+21) (6.97538979e+06 -1.50875955e+08 -6.14873174e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1574            	((7.77238993e+22 -8.48649264e+21 -1.46470965e+23) (-1.11049960e+10 -5.34601836e+07 -1.12298743e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.96295837e+21 -5.96318037e+22 9.03193297e+21) (7.66108180e+06 -2.49516548e+08 -5.00171273e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1576            	((-8.67438348e+22 9.35041164e+21 1.66342391e+23) (-1.14735617e+10 2.66024764e+07 9.70871441e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.48688639e+21 6.82792498e+22 -6.28396686e+21) (-1.36679573e+07 -1.66667831e+08 -4.33990886e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1578            	((7.52639897e+22 4.26660002e+20 -1.78919983e+23) (-1.18125140e+10 3.76171020e+08 -1.21958250e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.94585514e+22 -7.26078664e+22 6.07135637e+21) (-1.24090019e+06 -2.63473056e+08 -4.60307721e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1580            	((-9.84276441e+22 -1.14504048e+21 1.82060174e+23) (-1.26267452e+10 3.37699865e+08 8.55376583e+07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.31229125e+22 7.50865103e+22 -7.32858042e+21) (-4.62276920e+06 -1.86130808e+08 -5.36456752e+08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
