# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.28000000e-02
# CofR          : (5.00000000e-01 5.00000000e-02 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
298             	3.09269496e+06	5.49181358e+07	-4.34213379e+06	9.21628068e+05	-5.26376186e+06
300             	-4.49618799e+06	-8.04324915e+07	5.73753719e+06	-1.62741939e+06	7.36495659e+06
302             	6.77454768e+06	8.73062931e+07	-7.49420027e+06	3.02744754e+06	-1.05216478e+07
304             	-6.00184313e+06	-9.21984754e+07	2.71452037e+06	-4.64458294e+06	7.35910331e+06
306             	2.66297515e+06	1.10593630e+08	-7.83897001e+06	-1.25650986e+06	-6.58246015e+06
308             	-3.13104982e+06	-1.23293620e+08	6.39079768e+06	6.43490232e+04	6.32644866e+06
310             	9.20442125e+06	1.21792800e+08	-4.12644031e+05	8.99809923e+06	-9.41074326e+06
312             	-8.30740220e+06	-1.52315673e+08	5.69702613e+05	-8.02255089e+06	8.59225350e+06
314             	1.04289095e+07	1.53239598e+08	6.71622984e+06	1.37870244e+07	-7.07079456e+06
316             	-7.28655817e+06	-1.61778916e+08	-2.79409996e+06	-8.68360815e+06	5.88950819e+06
318             	8.68661643e+06	1.49650723e+08	1.29087558e+07	1.51409944e+07	-2.23223852e+06
320             	-6.59452084e+06	-1.53354987e+08	-7.45978318e+06	-1.03244124e+07	2.86462925e+06
322             	-1.81664239e+06	1.39117752e+08	-5.19258246e+06	-4.41293362e+06	-7.79648844e+05
324             	3.33608134e+06	-1.66831786e+08	5.33826519e+06	6.00521394e+06	-6.66948750e+05
326             	-1.16388761e+06	1.63968562e+08	-9.29597325e+06	-5.81187424e+06	-3.48409902e+06
328             	-2.12398039e+06	-1.90896071e+08	9.80212563e+06	2.77708243e+06	7.02504320e+06
330             	2.45844959e+06	2.13063694e+08	-2.96552593e+07	-1.23691800e+07	-1.72860792e+07
332             	-4.30051135e+06	-2.43531359e+08	3.10257076e+07	1.12123424e+07	1.98133652e+07
334             	1.05945803e+06	1.97858302e+08	-3.38353847e+07	-1.58582343e+07	-1.79771504e+07
336             	-6.56830546e+06	-2.22154605e+08	3.04989876e+07	8.68118834e+06	2.18177993e+07
338             	1.30407788e+06	1.92300408e+08	-2.08673711e+07	-9.12960766e+06	-1.17377634e+07
340             	-5.95280642e+06	-2.23269571e+08	2.33900229e+07	5.74220503e+06	1.76478179e+07
342             	6.28213734e+06	2.26593797e+08	-2.74354686e+07	-7.43559695e+06	-1.99998716e+07
344             	-7.54704135e+06	-2.75640806e+08	2.34438470e+07	4.17488217e+06	1.92689649e+07
346             	1.34230775e+07	2.63950152e+08	-4.94556164e+06	1.09502967e+07	-1.58958583e+07
348             	-1.87886301e+07	-2.97308461e+08	3.57654355e+06	-1.70003584e+07	2.05769019e+07
350             	-7.88021350e+05	2.98072286e+08	-1.20293312e+07	-6.80268696e+06	-5.22664426e+06
352             	-4.27379456e+06	-3.27720562e+08	9.87308394e+06	6.62747408e+05	9.21033654e+06
354             	1.00838580e+07	2.72819108e+08	-1.13561144e+06	9.51605230e+06	-1.06516637e+07
